1368590949 2013-05-15 00:09 95
1368591852 2013-05-15 00:24 100
1368592746 2013-05-15 00:39 95
1368593650 2013-05-15 00:54 100
1368594544 2013-05-15 01:09 83
1368595447 2013-05-15 01:24 95
1368596351 2013-05-15 01:39 92
1368597254 2013-05-15 01:54 100
1368598149 2013-05-15 02:09 100
1368599044 2013-05-15 02:24 100
1368599939 2013-05-15 02:38 95
1368600842 2013-05-15 02:54 94
1368601747 2013-05-15 03:09 84
1368602651 2013-05-15 03:24 90
1368603555 2013-05-15 03:39 100
1368604450 2013-05-15 03:54 100
1368605345 2013-05-15 04:09 83
1368606249 2013-05-15 04:24 91
1368607152 2013-05-15 04:39 98
1368608056 2013-05-15 04:54 100
1368608951 2013-05-15 05:09 96
1368609855 2013-05-15 05:24 100
1368610749 2013-05-15 05:39 93
1368611653 2013-05-15 05:54 99
1368612557 2013-05-15 06:09 91
